fita,status,ult movimentação
CZY983L5,EM CLIENTE,17/12/2019
FYB465L5,ARMAZENADO,24/05/2022
DIH300L5,EM CLIENTE,17/10/2019
FTG938L5,ARMAZENADO,26/04/2022
CHC160L6,ARMAZENADO,
CQZ573L5,ARMAZENADO,13/09/2022
FCD667L5,ARMAZENADO,16/04/2019
CIO169L6,ARMAZENADO,
AJE742L8,EM CLIENTE,19/07/2022
DIH210L5,ARMAZENADO,23/05/2022
FTH123L5,ARMAZENADO,28/09/2021
GOI020L7,EM CLIENTE,21/04/2021
FXZ470L5,ARMAZENADO,
CZY908L5,ARMAZENADO,17/11/2022
FTG622L5,ARMAZENADO,
FTC770L5,ARMAZENADO,
BDB830L6,ARMAZENADO,28/09/2021
FCE928L5,ARMAZENADO,16/04/2019
FCF056L5,ARMAZENADO,20/07/2021
FTG948L5,ARMAZENADO,
FTE778L5,ARMAZENADO,
BDB573L6,ARMAZENADO,01/02/2022
BDB667L6,ARMAZENADO,20/07/2021
BDB578L6,ARMAZENADO,01/02/2022
FTH282L5,ARMAZENADO,31/08/2021
FTH109L5,ARMAZENADO,22/03/2022
FCF042L5,ARMAZENADO,06/07/2021
FCF012L5,ARMAZENADO,04/01/2022
FCD585L5,EM CLIENTE,31/05/2022
FTD415L5,EM CLIENTE,10/06/2022
FFB973L5,ARMAZENADO,06/07/2021
DOL868L5,ARMAZENADO,16/04/2019
BDB790L6,ARMAZENADO,24/05/2022
FCF011L5,ARMAZENADO,04/01/2022
FTG930L5,ARMAZENADO,26/04/2022
TRR047L5,EM CLIENTE,04/09/2019
DIH056L5,EM CLIENTE,01/06/2021
SPN042L5,ARMAZENADO,07/05/2019
BDB565L6,ARMAZENADO,24/12/2019
FFC214L5,ARMAZENADO,19/04/2022
CRZ002L5,ARMAZENADO,
CHC198L6,ARMAZENADO,
FTD049L5,ARMAZENADO,17/05/2022
FTC779L5,EM CLIENTE,21/06/2022
FTH485L5,ARMAZENADO,
BBM738L5,ARMAZENADO,30/11/2021
CQZ564L5,ARMAZENADO,25/05/2021
SAP035L8,EM CLIENTE,19/07/2022
FTG724L5,ARMAZENADO,
FYB462L5,ARMAZENADO,24/05/2022
BDB755L6,ARMAZENADO,17/05/2022
FFB962L5,ARMAZENADO,31/05/2022
FCD045L5,EM CLIENTE,28/12/2021
FFC006L5,ARMAZENADO,22/03/2022
FTD363L5,ARMAZENADO,
DIH222L5,ARMAZENADO,17/12/2019
CHC228L6,EM CLIENTE,25/01/2022
DII068L5,ARMAZENADO,16/04/2019
BBM777L5,ARMAZENADO,26/04/2022
FCD075L5,ARMAZENADO,
DIH211L5,ARMAZENADO,18/10/2022
DII033L5,ARMAZENADO,21/04/2021
FTG882L5,EM CLIENTE,14/12/2021
FFC016L5,ARMAZENADO,26/04/2022
CHC236L6,ARMAZENADO,
FTD404L5,EM CLIENTE,19/04/2022
FTH310L5,EM CLIENTE,11/08/2020
BDB597L6,ARMAZENADO,01/03/2022
DIH075L5,ARMAZENADO,13/09/2022
FTD369L5,ARMAZENADO,
FIC046L5,ARMAZENADO,07/12/2021
SP0015L5,ARMAZENADO,16/04/2019
DIH046L5,EM CLIENTE,14/04/2020
BLK149L5,ARMAZENADO,25/06/2019
SPN026L5,ARMAZENADO,09/04/2019
SPN039L5,ARMAZENADO,21/05/2019
DIH086L5,ARMAZENADO,
FCE903L5,EM CLIENTE,16/02/2021
CIO205L6,ARMAZENADO,
FTD431L5,ARMAZENADO,17/11/2020
CQZ613L5,ARMAZENADO,
TRR046L5,ARMAZENADO,12/11/2019
BDB810L6,ARMAZENADO,01/03/2022
BDB854L6,ARMAZENADO,28/09/2021
SAP062L8,EM CLIENTE,19/07/2022
